,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.8391940246455167,0.7030734176009507,0.5487470797038209,0.5355883159282208,0.7316289192995413
std,0.004813024237447587,0.008336611737102593,0.011438141228280645,0.025968131523109613,0.01753397766640719
