,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.8781415969182547,0.768745004233713,0.5471490664974766,0.5240966275653912,0.7237551157856466
std,0.0026458359761464094,0.004765640156148077,0.01767880963703592,0.023735681890899956,0.01658794560808237
