,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.7677345654636835,0.5845199263002037,0.613993689447329,0.6296627355622265,0.7925499800491539
std,0.03035531703389222,0.05330922504164219,0.03641244924108008,0.060913422275356705,0.03908023395928215
