,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.8934750564875833,0.7977743105494203,0.5692235201489841,0.6975929947129416,0.8347633890005189
std,0.006889725196874415,0.012158261618114964,0.015966279658589985,0.04616909329555607,0.02762388635420475
