,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.7919945558683057,0.6261477541617619,0.5081804081945064,0.44399638379309125,0.6652074778034825
std,0.02590565791304159,0.04050749008425311,0.026279752478810994,0.051979527696311374,0.03867034092712954
