,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.8345558930446471,0.6960335181021022,0.539527670901719,0.5152243476057087,0.7173179356544012
std,0.010807081163390506,0.018127150858226745,0.020461254080253292,0.03815054788251649,0.026063898292794083
