,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.7633885799154773,0.5833502757030301,0.6072991396106185,0.6260966422513098,0.7899997101802181
std,0.032099446221043056,0.04859414645918653,0.030399022694387733,0.07167936161964467,0.04468892666512815
