,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.665124717947682,0.43943035107217987,0.48933179805456506,0.4208833516882219,0.6483489809058822
std,0.017472100572665652,0.025917290123020423,0.014707669798150955,0.03040432833274133,0.022955405605778256
