,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.6256841150401418,0.3869095607286016,0.6805523008077351,0.7543250473264033,0.8655434749007374
std,0.06783391075701652,0.08325826882944237,0.05955965327809651,0.12055801877427327,0.0718299407152757
