,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.8300670945137508,0.6863660268450669,0.5240053832193899,0.4911860519109575,0.7001078849707532
std,0.022846740513689442,0.037942662397880876,0.025374462836582515,0.04469592636410226,0.03217143628649732
