smiles,value
CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.415
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,7.885
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,8.26
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.06333333333333
CN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.17
OCCN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.09
OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.05
CN1CCN(NCCCNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)CC1,8.23
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.505
CN1CCN(c2cc3c(Nc4cccc(Br)c4)ncnc3cn2)CC1,7.59
CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,8.495
CN(C)CCN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.715
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,8.615
CN(C)CCCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.23
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,8.655
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.355
O=C(O)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,6.96
CN(C)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.36
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,8.405
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.845
CC(Nc1ncnc2[nH]c(-c3ccccc3)cc12)c1ccccc1,8.24
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,6.66
CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,7.94333333333333
CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,5.495
CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCC(N)C3)nc21,5.28
COC(=O)c1cccc(NCc2cc(O)ccc2O)c1,5.05
COC(=O)c1cc(NCc2ccccc2O)ccc1O,4.7
COC(=O)c1cc(NCc2cccc(O)c2)ccc1O,4.68
COC(=O)c1cc(NCc2cc(O)ccc2O)ccc1OC,5.02
COC(=O)c1ccc(NCc2cc(O)ccc2O)cc1O,5.0
Cc1ccc(N(C)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,4.31
Cc1ccc(N(C(=O)c2ccccc2)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,4.12
Cc1cc(C)c(C(=O)C(C#N)=Cc2ccc(O)c(O)c2)c(C)c1,4.77
N#CC(=Cc1ccc(O)c(O)c1)C(=O)N1CCN(c2ccccc2)CC1,4.815
Oc1cc2cc(-c3ccncc3)cnc2cc1O,5.3
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,7.585
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,8.9475
CC(C)c1cc(C=C2C(=O)Nc3ccccc32)cc(C(C)C)c1O,5.61
CC(C)c1cc(C=C2C(=O)Nc3ccc(Cl)cc32)cc(C(C)C)c1O,5.02
COc1c(Br)cc(C=C2C(=O)Nc3ccccc32)cc1C(C)(C)C,4.72
CC(C)c1ccc(C=C2C(=O)Nc3ccccc32)cc1,4.73
CC(C)(C)c1cc(C=C2C(=O)Nc3ccccc32)cc(C(C)(C)C)c1O,5.1
CCc1ccc(C=C2C(=O)Nc3ccccc32)s1,4.36
COc1ccc(C=C2C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C,4.71
COc1cc(Nc2ncnc3cc(OC)c(OC)cc23)cc(OC)c1,5.52
COc1cc2ncnc(NCc3ccccc3)c2cc1OC,8.2
COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC,7.79
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,8.1525
COc1cc2ncnc(Oc3cccc(Cl)c3)c2cc1OC,7.7
COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,7.0
COc1cc2ncnc(N(C)c3ccccc3)c2cc1OC,5.4
COc1cc2ncnc(Sc3cccc(Cl)c3)c2cc1OC,8.0
COc1cc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,6.41
COc1cc2ncnc(Nc3ccc4c(c3)CCC4)c2cc1OC,6.22
COc1ccc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2c1,7.0
COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,6.6
Clc1cccc(Nc2ncnc3ccccc23)c1,7.465
O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc2ccc(C(=O)O)c(O)c2)[nH]c2ccccc12)NCc1ccc(C(=O)O)c(O)c1,5.07
