smiles,value
Nc1cccc(Nc2nccc(-c3ccncc3)n2)c1,6.22
CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,6.7
c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,6.0
Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,6.0
COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.72
c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,5.48
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,5.42
COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.29
FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,6.43
O=C(O)c1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.7
CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,7.0
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccnc1,6.82
NCCCn1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)C(F)F)c4)n3)cccc21,6.46
COc1ccccc1C(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,6.1
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccs1,6.52
Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,5.65
Cc1ccc(N)cc1Nc1nccc(-c2cccnc2)n1,5.82
c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,5.75
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccncc1,6.3
Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,6.16
O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.47
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)C1CCCCC1,6.35
N#Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,5.89
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,7.171875
Cc1ccc(NC(=O)N2CCCCC2)cc1Nc1nccc(-c2cccnc2)n1,6.03
