smiles,value
O=C(c1ccc(C=Cc2[nH]nc3ccccc23)cc1)N1CCNCC1,6.43
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,7.08
Cc1cc2c(F)c(Oc3ncnn4cc(OCC(C)O)c(C)c34)ccc2[nH]1,7.26
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)[nH]nc2c1,6.86
CC12OC(CC1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,6.51
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.8
N#CCOc1ccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2Br)cc1,7.0
CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,7.3
Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)ccnc3O)nc12,7.0
NC(COc1cncc(-c2ccc3c(c2)C(=Cc2ccc[nH]2)C(=O)N3)c1)Cc1ccccc1,6.9
OC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,5.7
CN1c2ccc(N)cc2C(c2ccccc2)c2cc(N)ccc21,6.0
CNC(=O)C(C)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(C)cc5)cc4)csc23)cn1,7.7
Nc1[nH]nc2ncc(Br)cc12,4.3
CCCCN(CCC#N)C(=O)c1ccc2[nH]c(-c3[nH]nc4ccccc34)nc2c1,5.9
Nc1ncnc2c1C(=O)Nc1ccccc1N2,4.6
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCNS(C)(=O)=O)cnc(N)c34)cc2)c1,7.5
Cn1cc(-c2cc3nc(Br)cnc3[nH]2)c2cc(C#N)ccc21,5.9
O=C1NCCc2[nH]c(-c3ccnc(C=Cc4ccccc4)c3)cc21,5.7
O=C(O)c1csc2c1NCCNC2=O,4.1
COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CCO)c5)cnc(N)c34)cc2)cc1,7.7
