,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.7920874746923079,0.6268711430036314,0.48904597293066293,0.43848809181960746,0.6620936637756184
std,0.008112613733043764,0.012936842035488809,0.009094337548251823,0.014505864823507377,0.010957746473876507
