,Corr_Coef,R2,MAE,MSE,RMSE
mean,0.7265466175016122,0.5263005606399902,0.46253410683533086,0.3974875639008289,0.6303105043229893
std,0.013935784950975187,0.02068759377584813,0.00686724143502159,0.017651493604845737,0.014008284724678728
